0,1.0625,0,0,0,0,0
0.001,1.5625,0,0,0,0,0
0.002,1.5625,0,0,0,0,0
0.003,1.5625,0,0,0,0,0
0.004,-0.4375,0,0,0,0,0
0.005,-2.8125,0,0,0,0,0
0.006,-2.375,0,0,0,0,0
0.007,-2.5,0,0,0,0,0
0.008,-2.8125,0,0,0,0,0
0.009,-2.5,0,0,0,0,0
0.01,-2.6875,0,0,0,0,0
0.011,-2.1875,0,0,0,0,0
0.012,-1.3125,0,0,0,0,0
0.013,-1.25,0,0,0,0,0
0.014,-1,0,0,0,0,0
0.015,0,0,0,0,0,0
0.016,0.3125,0,0,0,0,0
0.017,0.625,0,0,0,0,0
0.018,0.625,0,0,0,0,0
0.019,0.3125,0,0,0,0,0
0.02,-0.3125,0,0,0,0,0
0.021,-0.9375,0,0,0,0,0
0.022,-1.4375,0,0,0,0,0
0.023,-2.5,0,0,0,0,0
0.024,-2.1875,0,0,0,0,0
0.025,-1.875,0,0,0,0,0
0.026,-0.9375,0,0,0,0,0
0.027,-1.25,0,0,0,0,0
0.028,-1.5,0,0,0,0,0
0.029,-1.875,0,0,0,0,0
0.03,-1.25,0,0,0,0,0
0.031,-1.25,0,0,0,0,0
0.032,-1.25,0,0,0,0,0
0.033,-0.9375,0,0,0,0,0
0.034,-1.0625,0,0,0,0,0
0.035,-1.25,0,0,0,0,0
0.036,-1.75,0,0,0,0,0
0.037,-1.25,0,0,0,0,0
0.038,-1,0,0,0,0,0
0.039,-0.3125,0,0,0,0,0
0.04,-1.125,0,0,0,0,0
0.041,-1.25,0,0,0,0,0
0.042,-1.5625,0,0,0,0,0
0.043,-1.5625,0,0,0,0,0
0.044,-2.3125,0,0,0,0,0
0.045,-2.8125,0,0,0,0,0
0.046,-1.875,0,0,0,0,0
0.047,-1.5625,0,0,0,0,0
0.048,-0.375,0,0,0,0,0
0.049,0.625,0,0,0,0,0
0.05,-0.3125,0,0,0,0,0
0.051,-0.3125,0,0,0,0,0
0.052,0.4375,0,0,0,0,0
0.053,0.625,0,0,0,0,0
0.054,0.9375,0,0,0,0,0
0.055,1.5625,0,0,0,0,0
0.056,0,0,0,0,0,0
0.057,-0.625,0,0,0,0,0
